TAMANHO_VETOR,CONFIG_DESC,ALGORITMO,TEMPO_US,CMP,MOV,CALLS
100,Ordenado,InsertionSort,1,99,198,1
100,Ordenado,Quicksort_MP50,1,198,197,4
100,Shuffle_25perc,InsertionSort,10,1494,1593,1
100,Shuffle_25perc,Quicksort_MP50,6,699,677,7
100,Shuffle_50perc,InsertionSort,14,2109,2208,1
100,Shuffle_50perc,Quicksort_MP50,9,1114,1110,7
100,Shuffle_75perc,InsertionSort,16,2166,2265,1
100,Shuffle_75perc,Quicksort_MP50,10,1106,1129,7
100,Inverso,InsertionSort,47,5049,5148,1
100,Inverso,Quicksort_MP50,3,198,346,4
500,Ordenado,InsertionSort,6,499,998,1
500,Ordenado,Quicksort_MP50,19,2473,983,46
500,Shuffle_25perc,InsertionSort,297,32172,32671,1
500,Shuffle_25perc,Quicksort_MP50,52,4414,3365,46
500,Shuffle_50perc,InsertionSort,380,45663,46162,1
500,Shuffle_50perc,Quicksort_MP50,47,5536,4678,48
500,Shuffle_75perc,InsertionSort,486,55166,55665,1
500,Shuffle_75perc,Quicksort_MP50,52,6014,5453,43
500,Inverso,InsertionSort,855,125249,125748,1
500,Inverso,Quicksort_MP50,15,2476,1732,46
1000,Ordenado,InsertionSort,8,999,1998,1
1000,Ordenado,Quicksort_MP50,27,5942,1967,94
1000,Shuffle_25perc,InsertionSort,911,124621,125620,1
1000,Shuffle_25perc,Quicksort_MP50,81,11406,7369,94
1000,Shuffle_50perc,InsertionSort,1213,182557,183556,1
1000,Shuffle_50perc,Quicksort_MP50,99,12258,9883,91
1000,Shuffle_75perc,InsertionSort,1452,223805,224804,1
1000,Shuffle_75perc,Quicksort_MP50,134,14141,11679,103
1000,Inverso,InsertionSort,3459,500499,501498,1
1000,Inverso,Quicksort_MP50,44,5946,3466,94
2500,Ordenado,InsertionSort,22,2499,4998,1
2500,Ordenado,Quicksort_MP50,107,17379,4935,190
2500,Shuffle_25perc,InsertionSort,5820,752434,754933,1
2500,Shuffle_25perc,Quicksort_MP50,225,29638,18219,253
2500,Shuffle_50perc,InsertionSort,7231,1123901,1126400,1
2500,Shuffle_50perc,Quicksort_MP50,288,35801,27190,256
2500,Shuffle_75perc,InsertionSort,9694,1310012,1312511,1
2500,Shuffle_75perc,Quicksort_MP50,349,38890,31323,247
2500,Inverso,InsertionSort,22730,3126249,3128748,1
2500,Inverso,Quicksort_MP50,121,17384,8684,190
5000,Ordenado,InsertionSort,101,4999,9998,1
5000,Ordenado,Quicksort_MP50,225,39752,9871,382
5000,Shuffle_25perc,InsertionSort,22345,2978805,2983804,1
