TAMANHO_VETOR,CONFIG_DESC,NUM_QUEBRAS_INICIAL,ALGORITMO,TEMPO_MS,CMP,MOV,CALLS,LP_CALIBRADO_TAD,LQ_CALIBRADO_TAD,A_COEF_USADO,B_COEF_USADO,C_COEF_USADO
100,Aleatorio_50perc_Shuffle,47,TAD_Universal,0.015,2109,2208,1,54,101,-0.229,0.236,14.355
100,Aleatorio_50perc_Shuffle,47,InsertionPuro,0.036,2109,2208,1,N/A,N/A,-0.229,0.236,14.355
100,Aleatorio_50perc_Shuffle,47,QuicksortHibrido_LPcal,0.010,1121,1168,4,54,0,-0.229,0.236,14.355
1000,Aleatorio_50perc_Shuffle,422,TAD_Universal,1.236,183361,184360,1,174,1001,-0.229,0.236,14.355
1000,Aleatorio_50perc_Shuffle,422,InsertionPuro,1.299,183361,184360,1,N/A,N/A,-0.229,0.236,14.355
1000,Aleatorio_50perc_Shuffle,422,QuicksortHibrido_LPcal,0.173,20241,18870,31,174,0,-0.229,0.236,14.355
5000,Aleatorio_50perc_Shuffle,2195,TAD_Universal,32.661,4499883,4504882,1,183,5001,-0.229,0.236,14.355
5000,Aleatorio_50perc_Shuffle,2195,InsertionPuro,29.627,4499883,4504882,1,N/A,N/A,-0.229,0.236,14.355
5000,Aleatorio_50perc_Shuffle,2195,QuicksortHibrido_LPcal,1.497,152951,141499,133,183,0,-0.229,0.236,14.355
10000,Aleatorio_50perc_Shuffle,4321,TAD_Universal,111.113,17763759,17773758,1,185,10001,-0.229,0.236,14.355
10000,Aleatorio_50perc_Shuffle,4321,InsertionPuro,116.558,17763759,17773758,1,N/A,N/A,-0.229,0.236,14.355
10000,Aleatorio_50perc_Shuffle,4321,QuicksortHibrido_LPcal,2.738,319521,278142,259,185,0,-0.229,0.236,14.355
15000,Aleatorio_50perc_Shuffle,6446,TAD_Universal,246.992,39811673,39826672,1,178,15001,-0.229,0.236,14.355
15000,Aleatorio_50perc_Shuffle,6446,InsertionPuro,251.808,39811673,39826672,1,N/A,N/A,-0.229,0.236,14.355
15000,Aleatorio_50perc_Shuffle,6446,QuicksortHibrido_LPcal,3.897,457148,403126,433,178,0,-0.229,0.236,14.355
30000,Aleatorio_50perc_Shuffle,12972,TAD_Universal,982.436,159701825,159731824,1,184,30001,-0.229,0.236,14.355
30000,Aleatorio_50perc_Shuffle,12972,InsertionPuro,1000.382,159701825,159731824,1,N/A,N/A,-0.229,0.236,14.355
30000,Aleatorio_50perc_Shuffle,12972,QuicksortHibrido_LPcal,7.970,988027,840119,829,184,0,-0.229,0.236,14.355
50000,Aleatorio_50perc_Shuffle,21638,TAD_Universal,2793.990,445800113,445850112,1,190,50001,-0.229,0.236,14.355
50000,Aleatorio_50perc_Shuffle,21638,InsertionPuro,2741.128,445800113,445850112,1,N/A,N/A,-0.229,0.236,14.355
50000,Aleatorio_50perc_Shuffle,21638,QuicksortHibrido_LPcal,12.867,1730253,1465156,1363,190,0,-0.229,0.236,14.355
