78 2263
27 22 50
43 3 62
9 10 5
61 20 50
7 49 8
53 16 17
76 36 40
22 65 99
42 43 91
34 39 73
53 52 71
26 35 4
54 17 31
65 26 85
38 9 36
11 55 48
57 22 78
3 51 23
4 16 21
15 25 59
60 33 27
17 71 52
37 49 25
8 22 16
48 58 90
6 61 13
64 39 58
49 59 34
42 20 80
34 16 45
3 28 14
55 75 55
35 17 43
75 53 85
26 48 80
67 49 21
46 26 13
33 56 46
38 22 77
52 69 88
44 65 30
56 39 92
16 3 4
2 68 97
48 35 43
68 50 1
60 46 73
72 20 60
18 49 78
37 62 63
29 58 32
22 19 62
41 32 91
61 10 3
6 74 20
12 5 33
7 39 89
45 2 97
11 9 52
76 26 87
55 52 93
34 29 50
74 65 88
54 7 66
45 38 80
40 72 25
46 3 94
57 12 77
44 42 98
60 23 51
25 65 100
71 32 6
17 61 14
18 26 35
37 39 81
56 52 77
6 51 86
59 63 48
30 36 35
76 3 31
62 68 90
42 10 69
53 19 20
3 18 38
75 43 54
35 7 22
67 39 98
33 46 93
5 64 72
25 42 85
4 19 13
2 58 51
48 25 67
68 40 65
17 74 85
10 35 48
30 13 35
49 26 17
6 64 60
7 29 12
59 76 19
63 46 15
26 15 89
40 62 8
13 45 96
32 58 39
44 32 64
23 9 32
36 28 49
56 6 27
2 35 88
14 46 39
25 55 3
64 19 66
10 48 95
70 62 50
30 26 40
62 58 15
63 23 77
45 5 88
31 70 30
3 8 75
73 72 63
52 49 94
17 28 41
48 15 11
6 18 21
47 56 79
18 29 4
59 30 12
10 25 32
50 61 60
69 74 35
16 68 21
62 35 42
41 12 41
7 19 84
55 32 42
1 61 73
75 10 45
21 39 99
12 70 83
33 13 17
5 31 9
36 18 75
68 7 22
54 72 27
60 3 30
17 41 53
77 55 37
48 28 11
6 31 49
51 39 54
8 77 19
28 55 20
1 38 14
74 22 70
20 51 4
21 16 33
12 47 99
32 25 5
52 3 49
55 45 6
1 74 50
42 75 75
14 13 39
5 44 46
65 58 23
17 18 18
77 32 19
23 61 86
56 9 39
35 72 96
6 8 8
66 59 50
39 42 38
58 55 62
27 67 20
20 28 33
40 6 26
31 37 71
32 2 19
9 55 65
1 51 3
20 64 46
61 65 25
21 29 47
12 60 82
32 38 30
52 16 56
44 12 71
2 15 34
47 23 76
65 71 64
77 45 75
29 5 85
70 6 45
62 2 65
47 59 91
39 55 4
43 25 18
16 71 84
63 3 69
9 32 84
74 12 35
20 41 31
12 37 35
31 50 36
76 58 50
42 65 97
54 39 70
5 34 15
65 48 90
66 13 29
25 12 76
3 73 79
77 22 28
23 51 75
69 18 47
58 45 13
59 10 86
69 54 33
70 19 15
8 44 74
27 57 19
28 22 17
20 18 98
12 14 33
64 61 50
30 68 43
76 35 30
22 64 31
1 41 25
53 51 69
45 47 7
73 29 68
5 11 80
11 54 21
76 71 95
2 5 17
34 74 54
66 26 66
39 9 41
38 44 94
60 68 93
72 42 12
43 15 38
9 22 96
49 58 64
20 31 27
